timestamp,experiment_id,source_location,protocol,dst_ip,packet_size,probe_index,success,rtt_ms,send_timestamp,recv_timestamp
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,13,False,,88382.218,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,14,False,,88383.515,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,15,False,,88384.781,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,16,False,,88386.046,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,17,False,,88387.312,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,18,False,,88388.593,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,19,False,,88389.89,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,20,False,,88391.156,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,21,False,,88392.421,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,22,False,,88393.687,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,23,False,,88394.953,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,24,False,,88396.234,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,25,False,,88397.5,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,26,False,,88398.812,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,27,False,,88400.078,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,28,False,,88401.39,
2026-07-13T02:25:50,6a837b526136435d805e00eb31037a58,sg,tcp,8.8.8.8,128,29,False,,88402.656,
2026-07-13T02:26:29,e51ebce164bf4f50960ed322bec09a05,sg,tcp,8.8.8.8,256,0,False,,88403.734,
2026-07-13T02:26:29,e51ebce164bf4f50960ed322bec09a05,sg,tcp,8.8.8.8,256,1,False,,88405.062,
2026-07-13T02:26:29,e51ebce164bf4f50960ed322bec09a05,sg,tcp,8.8.8.8,256,2,False,,88406.39,
2026-07-13T02:26:29,e51ebce164bf4f50960ed322bec09a05,sg,tcp,8.8.8.8,256,3,False,,88407.656,
2026-07-13T02:26:29,e51ebce164bf4f50960ed322bec09a05,sg,tcp,8.8.8.8,256,4,False,,88408.937,
2026-07-13T02:26:29,e51ebce164bf4f50960ed322bec09a05,sg,tcp,8.8.8.8,256,5,False,,88410.203,
2026-07-13T02:26:29,e51ebce164bf4f50960ed322bec09a05,sg,tcp,8.8.8.8,256,6,False,,88411.562,
2026-07-13T02:26:29,e51ebce164bf4f50960ed322bec09a05,sg,tcp,8.8.8.8,256,7,False,,88412.828,
2026-07-13T02:26:29,e51ebce164bf4f50960ed322bec09a05,sg,tcp,8.8.8.8,256,8,False,,88414.109,
